Creation Time: 2023_7_10-22-11-3
22-11-3 | [INFO] TraderPlusCore - Started !
22-17-42 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_112746320.json
22-17-53 | [INFO] InsuranceRequestHandler
22-17-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_112746320.json
22-17-54 | [INFO] InsuranceRequestHandler
22-17-54 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_93344906.json
22-17-56 | [INFO] TraderID: 4 - Customer: Bunker - Category: Holler Long Rifles - ClassName: CZ527 - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 1 - Price: 213 - CollateralMoney: 0 - TradeMode:Sell
22-17-56 | [INFO] Transaction Sell Succeeded:Bunker product:CZ527 quantity:0 health:1 price:213
22-18-0 | [INFO] InsuranceRequestHandler
22-18-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_112746320.json
22-18-4 | [INFO] TraderID: 5 - Customer: Bunker - Category: Holler Camping & Survival - ClassName: Compass - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 60 - CollateralMoney: 0 - TradeMode:Sell
22-18-4 | [INFO] Transaction Sell Succeeded:Bunker product:Compass quantity:0 health:0 price:60
22-18-11 | [INFO] InsuranceRequestHandler
22-18-11 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_112746320.json
22-18-14 | [INFO] TraderID: 6 - Customer: Bunker - Category: Holler Electronics - ClassName: Battery9V - Quantity: 50 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 300 - CollateralMoney: 0 - TradeMode:Sell
22-18-14 | [INFO] Transaction Sell Succeeded:Bunker product:Battery9V quantity:50 health:0 price:300
22-18-16 | [INFO] TraderID: 6 - Customer: Bunker - Category: Holler Electronics - ClassName: Flashlight - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 210 - CollateralMoney: 0 - TradeMode:Sell
22-18-16 | [INFO] Transaction Sell Succeeded:Bunker product:Flashlight quantity:0 health:0 price:210
22-18-18 | [INFO] InsuranceRequestHandler
22-18-18 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-18-34 | [INFO] InsuranceRequestHandler
22-18-34 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-19-43 | [INFO] InsuranceRequestHandler
22-19-43 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_119311623.json
22-19-47 | [INFO] TraderID: 4 - Customer: Cowboy - Category: Holler Long Rifles - ClassName: Ruger1022 - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 240 - CollateralMoney: 0 - TradeMode:Sell
22-19-47 | [INFO] Transaction Sell Succeeded:Cowboy product:Ruger1022 quantity:0 health:0 price:240
